,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.061900000000000004,0.17500000000000002,0.03211,0.049510000000000005,2010-09-30T22:49:52.0000000Z,2010-07-17T23:09:17.0000000Z,2010-10-01T00:00:00.0000000Z,2010-07-01T00:00:00.0000000Z,2665,470409.713
1,0.30000000000000004,0.5,0.01,0.06189000000000001,2010-12-31T21:36:52.0000000Z,2010-10-01T02:56:13.0000000Z,2011-01-01T00:00:00.0000000Z,2010-10-01T00:00:00.0000000Z,6092,2195828.059
2,0.78461,1.1,0.289,0.292,2011-03-31T23:44:15.0000000Z,2011-01-01T01:16:13.0000000Z,2011-04-01T00:00:00.0000000Z,2011-01-01T00:00:00.0000000Z,8406,988346.408
3,16.10096,31.9099,0.5619000000000001,0.778,2011-06-30T23:59:41.0000000Z,2011-04-01T00:28:54.0000000Z,2011-07-01T00:00:00.0000000Z,2011-04-01T00:00:00.0000000Z,205917,3173722.14879724
4,5.14009,16.74,4.18,16.10098,2011-09-30T23:59:04.0000000Z,2011-07-01T00:00:59.0000000Z,2011-10-01T00:00:00.0000000Z,2011-07-01T00:00:00.0000000Z,536900,3814915.9056904
5,4.7220200000000006,15.0,1.994,5.16699,2011-12-31T23:59:45.0000000Z,2011-10-01T00:00:45.0000000Z,2012-01-01T00:00:00.0000000Z,2011-10-01T00:00:00.0000000Z,548033,5698925.47969707
6,4.90873,7.5,3.8,4.70087,2012-03-31T23:59:49.0000000Z,2012-01-01T00:00:18.0000000Z,2012-04-01T00:00:00.0000000Z,2012-01-01T00:00:00.0000000Z,790855,7946544.79273446
7,6.68999,7.7,4.4030000000000005,4.88002,2012-06-30T23:56:30.0000000Z,2012-04-01T00:01:52.0000000Z,2012-07-01T00:00:00.0000000Z,2012-04-01T00:00:00.0000000Z,408763,4816712.60619594
8,12.4,16.41,6.31,6.68998,2012-09-30T23:59:28.0000000Z,2012-07-01T00:00:01.0000000Z,2012-10-01T00:00:00.0000000Z,2012-07-01T00:00:00.0000000Z,577773,5817075.22954077
9,13.51001,15.0,8.889,12.1,2012-12-31T23:58:33.0000000Z,2012-10-01T00:00:39.0000000Z,2013-01-01T00:00:00.0000000Z,2012-10-01T00:00:00.0000000Z,393194,3390293.45909768
10,93.03001,100.0,1.0,13.51001,2013-03-31T23:58:46.0000000Z,2013-01-01T00:04:19.0000000Z,2013-04-01T00:00:00.0000000Z,2013-01-01T00:00:00.0000000Z,878978,6098312.24933746
11,97.51,290.0,0.01,93.25,2013-06-30T23:59:51.0000000Z,2013-04-01T00:00:40.0000000Z,2013-07-01T00:00:00.0000000Z,2013-04-01T00:00:00.0000000Z,3391190,10672955.38064635
12,126.25,148.90893,1.0,90.207,2013-09-30T23:58:46.0000000Z,2013-07-01T00:00:13.0000000Z,2013-10-01T00:00:00.0000000Z,2013-07-01T00:00:00.0000000Z,1813668,3998716.16164496
13,806.00503,1242.0,75.0,143.28122,2013-12-31T23:59:59.0000000Z,2013-10-01T00:00:26.0000000Z,2014-01-01T00:00:00.0000000Z,2013-10-01T00:00:00.0000000Z,9522747,8957607.45785757
14,454.83,1093.68199,91.5,732.0,2014-03-31T23:59:59.0000000Z,2014-01-01T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,2014-01-01T00:00:00.0000000Z,5752077,5683794.70076243
15,640.092,694.84,325.0,454.81,2014-06-30T23:59:59.0000000Z,2014-04-01T00:00:00.0000000Z,2014-07-01T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,3589054,3365052.16708646
16,387.0,699.99,100.0,637.89,2014-09-30T23:59:59.0000000Z,2014-07-01T00:00:00.0000000Z,2014-10-01T00:00:00.0000000Z,2014-07-01T00:00:00.0000000Z,3336412,2779406.186645959
17,317.0,1000.0,260.53,380.292,2014-12-31T23:59:56.0000000Z,2014-10-01T00:00:00.0000000Z,2015-01-01T00:00:00.0000000Z,2014-10-01T00:00:00.0000000Z,4476989,4931881.07588785
18,244.34,387.7,110.2,322.31,2015-03-31T23:59:57.2000000Z,2015-01-01T00:00:00.0000000Z,2015-04-01T00:00:00.0000000Z,2015-01-01T00:00:00.0000000Z,6896130,9268492.64441094
