,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,11.386,15.074,8.338,10.297,2016-03-31T23:30:40.0000000Z,2016-03-09T16:04:35.0000000Z,2016-04-01T00:00:00.0000000Z,2016-01-01T00:00:00.0000000Z,24237,280561.25961513
1,12.402,22.0,6.855,11.391,2016-06-30T23:58:36.0000000Z,2016-04-01T00:10:34.0000000Z,2016-07-01T00:00:00.0000000Z,2016-04-01T00:00:00.0000000Z,377311,9545457.38034226
2,13.23,15.4,9.0,12.479,2016-09-30T23:59:17.1310000Z,2016-07-01T00:02:49.0000000Z,2016-10-01T00:00:00.0000000Z,2016-07-01T00:00:00.0000000Z,534776,11241177.94159186
3,8.16,18.0,4.5,13.23,2016-12-31T23:58:01.4370000Z,2016-10-01T00:00:07.3790000Z,2017-01-01T00:00:00.0000000Z,2016-10-01T00:00:00.0000000Z,617786,8841577.4647092
4,49.724,58.989,6.0,8.16,2017-03-31T23:59:58.0000000Z,2017-01-01T00:00:01.4630000Z,2017-04-01T00:00:00.0000000Z,2017-01-01T00:00:00.0000000Z,1873590,29775984.45420827
5,275.62,425.0,13.0,49.78,2017-06-30T23:59:57.0000000Z,2017-04-01T00:00:04.0000000Z,2017-07-01T00:00:00.0000000Z,2017-04-01T00:00:00.0000000Z,7825750,39966795.06573601
6,301.57,424.0,120.0,280.03,2017-09-30T23:59:52.0340000Z,2017-07-01T00:00:00.9000000Z,2017-10-01T00:00:00.0000000Z,2017-07-01T00:00:00.0000000Z,11983167,55086037.61212288
7,736.77,944.0,240.0,301.57,2017-12-31T23:59:59.0000000Z,2017-10-01T00:00:00.7300000Z,2018-01-01T00:00:00.0000000Z,2017-10-01T00:00:00.0000000Z,22021712,52443627.32301547
8,393.79,1650.0,355.0,743.5,2018-03-31T23:59:58.0000000Z,2018-01-01T00:00:01.0000000Z,2018-04-01T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,22250746,52223254.49458734
9,453.85,917.87,1.6099999999999999,394.73,2018-06-30T23:59:59.0000000Z,2018-04-01T00:00:02.2260000Z,2018-07-01T00:00:00.0000000Z,2018-04-01T00:00:00.0000000Z,15607652,41411988.789997704
10,232.27,764.9,77.23,469.00001,2018-09-30T23:59:48.2190000Z,2018-07-01T00:00:01.0000000Z,2018-10-01T00:00:00.0000000Z,2018-07-01T00:00:00.0000000Z,12312591,45380888.138910376
11,136.0,391.72479,51.39,232.27,2018-12-31T23:59:55.0000000Z,2018-10-01T00:00:00.5180000Z,2019-01-01T00:00:00.0000000Z,2018-10-01T00:00:00.0000000Z,11030305,72637443.9281028
12,140.89,199.99,51.45,130.66,2019-03-31T23:59:54.0000000Z,2019-01-01T00:00:00.3750000Z,2019-04-01T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,8466512,68644072.34404361
13,153.99,217.9999,35.66,141.37771427,2019-04-27T15:38:52.4800000Z,2019-04-01T00:00:00.0000000Z,2019-07-01T00:00:00.0000000Z,2019-04-01T00:00:00.0000000Z,3502215,28240607.789652385
